interest,mean,std,count
Politics,-0.26912694740089466,0.5655669013218361,25932
Music,-0.24571466684452745,0.5967288476669129,14993
Family & Parenting,-0.23826860841423947,0.5768805569963841,32136
TV,-0.22036284016265248,0.5847756692889774,6394
Beauty/Health & Fitness,-0.10015516292106712,0.572690010817949,19979
Books,-0.22684859567684157,0.6015136381042464,21327
Animals & Pets,-0.26633962264150945,0.5888964717739291,13250
Business,-0.09530727880284759,0.5663166744690501,20649
Automotive,-0.18226600985221675,0.5882936736699943,2639
Science,-0.12600636584909192,0.5863385280361249,10682
Fine arts,-0.28554114652769363,0.617608645168548,8251
Sports,-0.18496710980265882,0.588747359492135,21739
Environment,-0.19394588802571658,0.5985926832108954,3733
Technology,-0.14342423196410078,0.5796596050454155,11588
Fashion,-0.2572515454113172,0.5915183176217074,2103
Games,-0.2852078633580406,0.6258969821014614,6206
Photo & Video,-0.21977145894233324,0.58533068654468,3763
Food & Drinks,-0.22629233511586452,0.5903595509421906,11220
Movies,-0.23951081843838193,0.6032372262268927,5315
Shopping,-0.14743162108072047,0.584670534788845,1499
Travel,-0.1750064151911727,0.5913250268333059,3897
